"Approved Foreign Investments by Industry at Current Prices"

"Industry Group","2010 Q1","2010 Q2","2010 Q3","2010 Q4","2011 Q1","2011 Q2","2011 Q3","2011 Q4","2012 Q1","2012 Q2","2012 Q3","2012 Q4","2013 Q1","2013 Q2","2013 Q3","2013 Q4","2014 Q1","2014 Q2","2014 Q3","2014 Q4","2015 Q1","2015 Q2","2015 Q3","2015 Q4","2016 Q1","2016 Q2","2016 Q3","2016 Q4","2017 Q1","2017 Q2","2017 Q3","2017 Q4","2018 Q1","2018 Q2","2018 Q3","2018 Q4","2019 Q1","2019 Q2","2019 Q3","2019 Q4","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2023 Q1","2023 Q2","2023 Q3","2023 Q4","2024 Q1","2024 Q2","2024 Q3","2024 Q4"
"A. Agriculture, forestry and fishing",1087.40,0.00,0.00,130.40,294.10,0.00,960.00,10.40,137.10,1622.30,426.80,2328.20,26.00,0.00,3.10,2649.60,0.00,184.30,228.00,124.40,0.00,5146.30,2968.00,393.60,1040.00,1400.00,7.60,2773.70,0.00,7.20,386.70,644.56,0.00,34.56,0.00,176.83,0.00,0.00,409.60,0.00,63.00,74.00,0.00,0.00,0.00,80.50,3.62,19.97,3.62,1208.93,96.60,0.00,499.68,478.24,0.00,299.98,0.00,4.08,0.00,86.66
"B. Mining and quarrying",0.00,40.00,0.00,6034.50,287.90,81.60,0.00,175.20,0.00,0.00,229.60,0.00,9.60,1775.00,17.10,175.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,614.20,0.00,0.00,0.00,0.00,0.00,0.00,235.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,583.00,63.20,49.05,25.02,..,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00
"C. Manufacturing",42849.50,4191.90,12069.40,103792.40,16752.40,26090.00,9909.00,90166.50,12038.10,14040.40,6665.30,136787.40,7660.70,6953.40,11231.70,51711.80,27735.80,18531.50,8791.90,54436.10,9128.80,21795.10,7855.40,95776.70,9819.60,14242.70,5061.00,66807.00,15013.19,6662.25,25052.95,8276.76,9100.54,12843.07,4334.05,58847.17,35004.00,6136.80,7061.00,13752.70,9949.70,1730.50,15546.30,10370.00,11135.45,2274.63,11012.30,2134.27,5151.38,6153.76,7199.64,19299.12,10486.82,35070.21,16425.36,48958.27,12620.96,12391.87,70570.40,30550.03
"D. Electricity, gas, steam and air conditioning supply",163.10,3628.00,4594.90,81.20,184.30,4829.30,5099.60,20354.30,146.60,24.70,4873.30,671.90,16023.90,43370.20,9535.40,5567.80,1983.00,368.30,1020.90,2807.80,337.60,372.80,27687.00,18091.40,6641.30,3826.70,13205.30,31959.20,337.50,1827.91,1115.06,1933.30,0.50,640.79,16063.50,13343.44,977.00,35694.00,35010.60,955.90,4.20,0.00,1084.00,1268.60,538.41,681.36,169.47,773.79,1659.70,1157.10,818.52,130.34,392428.24,2999.42,1066.37,335872.23,109148.18,172744.93,51923.28,7684.55
"E. Water supply; sewerage, waste management and remediation activities",0.00,0.00,0.00,0.00,0.00,385.10,0.00,5.50,0.00,737.40,0.00,350.10,0.50,1.20,0.00,130.50,8.30,1.90,0.00,124.90,0.00,0.00,60.50,0.00,0.00,0.00,1675.50,79.30,0.00,43.50,0.00,0.00,0.00,0.00,0.00,0.00,126.20,11.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,..,0.00,0.00,0.00,0.00,36.60,54.93,0.00,0.00,0.00,9.35,16.93,132.05,799.06
"F. Construction",0.00,3.70,25.20,152.90,0.00,6.90,25.00,1.30,0.00,1572.60,1251.00,1108.40,7.50,0.00,1.20,0.00,1.70,106.60,38.10,7588.80,0.00,0.00,7.20,0.00,11.40,7.70,2.90,7.20,0.54,3.27,509.51,14.27,76.24,7127.91,58.32,1542.79,0.70,0.20,0.20,1.30,157.50,0.00,0.00,54.40,1.36,3622.53,3.11,6.08,0.24,2.13,1.26,3.10,0.00,8.80,3.21,2.17,1417.68,0.00,0.30,0.00
"G. Wholesale and retail trade; repair of motor vehicles and motorcycles",118.20,36.60,30.70,16.70,4.00,5.80,7.80,54.20,35.20,31.60,131.10,82.60,32.80,37.20,44.00,41.10,220.50,161.40,125.60,44.30,196.40,111.40,1070.30,339.70,160.70,134.80,1.00,701.70,89.09,128.92,428.13,224.15,94.91,957.93,2773.23,1635.47,460.10,825.40,524.20,1059.80,666.20,1242.00,20.10,310.70,144.46,16.51,144.63,2.04,100.00,0.29,109.71,349.07,285.08,298.23,27.75,25.41,51.20,2.00,75.08,377.43
"H. Transportation and storage",484.40,135.00,123.50,69.60,12.20,414.90,0.00,713.30,0.00,2507.00,538.30,49987.60,889.60,272.90,1218.40,53087.20,1023.90,539.90,174.80,4364.70,908.90,2679.50,582.40,1511.70,1792.20,8416.90,3546.60,1849.90,96.28,909.24,312.57,122.84,390.60,1794.79,51.38,1542.76,44.10,893.80,623.90,2327.20,10926.00,3915.60,8633.30,13994.00,22.16,68.06,175.05,43.84,0.92,14523.94,0.02,59.26,20.87,2105.92,72.31,212.21,2530.21,559.24,28.84,11869.69
"I. Accommodation and food service activities",10.50,4.60,5.90,2159.00,47.10,75.40,764.40,127.50,1600.70,0.00,110.00,6338.30,19520.70,1011.80,4539.90,308.40,3.90,5461.10,0.50,55.30,4337.10,118.50,93.30,1179.60,8.80,3986.70,38.40,1243.20,232.29,44.81,653.52,691.92,54.45,438.50,0.20,61.76,2931.00,154.40,210.70,0.00,2080.50,0.00,28.00,68.60,0.00,145.00,146.10,11.92,0.00,81.48,42.26,0.52,7.80,2.24,231.67,6.08,20086.53,2.27,6.62,2.77
"J. Information and communication",65.30,623.70,243.90,241.60,1108.00,172.00,561.80,1539.30,387.80,457.30,125.80,14470.30,910.80,785.60,765.60,1098.80,311.60,552.30,1459.10,2614.40,231.20,908.40,738.80,1265.10,722.60,115.60,259.90,2891.50,48.28,527.52,1215.80,946.27,405.38,66.86,1199.91,1108.13,467.90,166.00,134505.20,84240.60,85.10,139.70,155.50,65.00,4578.04,12534.38,39.42,127171.92,100.94,19.89,1.47,114290.94,90.69,13921.31,24.29,264.46,150.28,40.35,7.49,265.53
