"Approved Foreign Investments by Country of Investor at Current Prices"

"Country","2020 Q1","2020 Q2","2020 Q3","2020 Q4","2021 Q1","2021 Q2","2021 Q3","2021 Q4","2022 Q1","2022 Q2","2022 Q3","2022 Q4","2023 Q1","2023 Q2","2023 Q3","2023 Q4","2024 Q1","2024 Q2","2024 Q3","2024 Q4"
"Australia",186.90,133.60,164.30,85.30,43.61,284.50,161.80,174.41,220.45,285.63,120.31,96.25,449.85,116.04,357.61,93.10,2976.01,121.98,151.15,485.33
"British Virgin Islands",110.10,0.00,249.20,0.00,0.00,0.00,698.32,0.00,220.38,332.72,524.12,2138.45,15.81,200.54,926.51,2257.94,0.73,397.53,847.97,822.26
"Canada",205.00,0.00,8.60,29.20,14.41,0.04,0.00,357.75,5.31,16.06,19.69,14.02,18.24,2.83,215.50,0.92,45.84,7.96,13.82,77.13
"Cayman Islands",428.50,0.00,0.00,0.00,1136.77,0.00,0.00,251.80,0.00,223.53,2.39,21.19,0.00,11633.02,0.00,0.00,8880.91,0.00,161.17,258.59
"China (PROC)",5042.00,69.70,9582.60,902.00,399.05,678.24,349.65,717.08,182.53,410.52,579.57,253.77,291.78,223.67,1845.55,4416.88,370.39,562.14,661.33,836.10
"Denmark",0.00,0.00,0.00,0.00,0.00,0.00,9.29,204.35,4.00,0.04,0.00,0.00,0.00,0.00,0.00,0.09,94.24,0.00,0.00,0.00
"France",1513.80,3.90,3.70,148.40,56.84,0.00,0.00,0.01,0.00,0.14,0.43,0.03,44.00,2051.80,4.15,9.90,2.25,0.00,13.95,0.00
"Germany",118.70,0.00,617.20,27.50,407.40,0.64,579.56,0.04,0.00,0.00,42.16,30.80,392401.04,1142.77,4.16,443.34,0.05,192.92,61.62,98.20
"Hongkong",1.00,69.40,19.80,210.30,146.81,53.72,2.59,0.00,7.10,137.85,188.18,317.39,0.00,375.70,49.83,585.14,1514.99,271.67,140.19,1150.81
"India",324.90,3.90,0.00,690.60,34.05,25.03,36.50,0.00,0.00,145.32,1109.92,524.51,16.26,131.74,86.56,353.25,32.27,398.20,93.66,41.28
"Japan",1274.30,514.40,3306.70,4280.70,10716.55,1145.97,11163.38,1443.01,3561.42,6507.51,4502.54,37408.83,3824.44,20356.10,1920.76,31370.59,920.93,7675.69,15960.66,4108.10
"South Korea",2131.30,150.70,5.40,1871.00,798.29,2253.48,14.64,147.16,1663.30,874.35,2024.43,374.64,135.44,1333.39,5.51,41.97,20232.84,96.28,53849.65,26158.45
"Malaysia",635.30,0.00,0.00,2.50,0.00,507.80,0.01,0.00,0.00,0.19,53.24,0.00,0.10,199.20,217.52,315.70,3.63,4532.54,4.22,93.04
"Netherlands",1950.60,1853.40,556.70,2441.00,78.11,725.97,1555.85,24541.36,51.34,19037.23,580.36,992.34,2651.43,1326.19,194.23,345760.84,38887.91,851.45,1292.87,9189.34
"Singapore",1878.20,1092.80,2743.90,4277.90,85.45,276.35,504.79,79301.96,1634.70,15886.87,1643.53,111466.26,1830.71,17652.76,13044.88,4988.78,7287.18,229.19,1203.64,3409.03
"Switzerland",0.00,0.00,0.00,28.60,95.86,0.00,0.00,97.58,585.96,0.00,3.20,1.40,0.00,0.00,37.52,0.00,62889.91,172041.76,51835.92,2296.85
"Taiwan",1149.60,341.40,518.50,4396.80,169.85,454.99,502.61,66.51,66.68,82.18,3.85,776.21,222.93,98.61,3632.47,124.18,1386.00,136.70,551.87,438.81
"Thailand",100.00,0.00,0.00,14.60,8.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1027.39,174.11,76.15,35.40,3027.93
"UK",6145.80,2033.40,4759.80,137.20,470.09,12516.73,8.36,379.95,0.72,801.04,224.99,10222.09,293.08,348.84,3198.84,286.09,1455.73,146.49,1276.00,134.18
"USA",5742.00,9079.10,7154.90,13396.40,322.32,2127.01,224.28,1150.31,291.99,845.79,663.39,3260.16,1796.65,965.01,704.23,1825.09,1175.69,1248.62,1644.97,1629.89
