"Consumer Price Index for All Income Households by Commodity Group (2018=100): January 2018 - January 2025"

"Geolocation","Commodity Description","2020 Jan","2020 Feb","2020 Mar","2020 Apr","2020 May","2020 Jun","2020 Jul","2020 Aug","2020 Sep","2020 Oct","2020 Nov","2020 Dec","2021 Jan","2021 Feb","2021 Mar","2021 Apr","2021 May","2021 Jun","2021 Jul","2021 Aug","2021 Sep","2021 Oct","2021 Nov","2021 Dec","2022 Jan","2022 Feb","2022 Mar","2022 Apr","2022 May","2022 Jun","2022 Jul","2022 Aug","2022 Sep","2022 Oct","2022 Nov","2022 Dec","2023 Jan","2023 Feb","2023 Mar","2023 Apr","2023 May","2023 Jun","2023 Jul","2023 Aug","2023 Sep","2023 Oct","2023 Nov","2023 Dec","2024 Jan","2024 Feb","2024 Mar","2024 Apr","2024 May","2024 Jun","2024 Jul","2024 Aug","2024 Sep","2024 Oct","2024 Nov","2024 Dec"
"..National Capital Region (NCR)","01 - FOOD AND NON-ALCOHOLIC BEVERAGES",105.5000000000000,104.8000000000000,104.6000000000000,105.4000000000000,104.7000000000000,104.4000000000000,104.3000000000000,104.3000000000000,104.7000000000000,106.7000000000000,110.7000000000000,112.0000000000000,114.6000000000000,111.8000000000000,109.2000000000000,108.6000000000000,107.9000000000000,108.1000000000000,108.7000000000000,109.8000000000000,108.5000000000000,107.8000000000000,109.5000000000000,110.8000000000000,111.2000000000000,110.0000000000000,110.8000000000000,112.3000000000000,112.9000000000000,114.7000000000000,115.6000000000000,116.6000000000000,117.7000000000000,120.1000000000000,121.8000000000000,123.2000000000000,124.6000000000000,122.8000000000000,121.1000000000000,121.6000000000000,121.5000000000000,121.6000000000000,123.0000000000000,126.6000000000000,127.5000000000000,126.7000000000000,126.2000000000000,126.7000000000000,127.0000000000000,126.9000000000000,126.5000000000000,126.2000000000000,126.8000000000000,127.9000000000000,129.4000000000000,129.1000000000000,129.5000000000000,129.5000000000000,131.6000000000000,133.5000000000000
"..National Capital Region (NCR)","02 - ALCOHOLIC BEVERAGES AND TOBACCO",111.8000000000000,112.7000000000000,113.8000000000000,113.9000000000000,114.0000000000000,114.4000000000000,115.3000000000000,115.5000000000000,115.8000000000000,116.4000000000000,118.7000000000000,120.3000000000000,122.2000000000000,123.7000000000000,124.1000000000000,123.9000000000000,123.9000000000000,124.7000000000000,124.9000000000000,125.3000000000000,125.5000000000000,126.2000000000000,126.6000000000000,127.2000000000000,128.0000000000000,128.6000000000000,129.0000000000000,130.4000000000000,132.0000000000000,133.3000000000000,134.2000000000000,135.1000000000000,135.3000000000000,135.9000000000000,136.2000000000000,136.3000000000000,136.4000000000000,136.8000000000000,139.2000000000000,140.7000000000000,141.8000000000000,142.4000000000000,142.8000000000000,143.0000000000000,143.9000000000000,144.0000000000000,144.6000000000000,144.8000000000000,145.6000000000000,145.9000000000000,146.4000000000000,146.6000000000000,146.8000000000000,146.9000000000000,146.9000000000000,147.1000000000000,147.3000000000000,147.8000000000000,148.2000000000000,148.8000000000000
"..National Capital Region (NCR)","03 - CLOTHING AND FOOTWEAR",102.5000000000000,102.5000000000000,102.7000000000000,102.7000000000000,102.7000000000000,102.7000000000000,102.9000000000000,103.1000000000000,103.1000000000000,103.2000000000000,103.2000000000000,103.4000000000000,103.5000000000000,103.5000000000000,103.5000000000000,103.8000000000000,103.8000000000000,103.8000000000000,103.7000000000000,103.7000000000000,103.8000000000000,103.9000000000000,103.9000000000000,104.0000000000000,104.3000000000000,104.3000000000000,104.5000000000000,104.6000000000000,105.0000000000000,105.4000000000000,106.1000000000000,106.1000000000000,106.1000000000000,106.2000000000000,106.6000000000000,106.7000000000000,107.1000000000000,107.6000000000000,107.7000000000000,107.8000000000000,108.0000000000000,108.2000000000000,108.3000000000000,108.5000000000000,108.5000000000000,108.7000000000000,108.9000000000000,109.2000000000000,109.7000000000000,109.8000000000000,110.1000000000000,110.2000000000000,110.3000000000000,110.3000000000000,110.4000000000000,110.5000000000000,110.6000000000000,110.8000000000000,110.8000000000000,110.9000000000000
"..National Capital Region (NCR)","04 - HOUSING, WATER, ELECTRICITY, GAS, AND OTHER FUELS",102.5000000000000,101.5000000000000,101.9000000000000,101.5000000000000,101.2000000000000,101.4000000000000,101.4000000000000,100.9000000000000,100.8000000000000,101.1000000000000,101.2000000000000,101.3000000000000,102.4000000000000,102.6000000000000,102.0000000000000,101.6000000000000,102.0000000000000,102.4000000000000,103.2000000000000,103.5000000000000,103.8000000000000,104.5000000000000,105.6000000000000,106.1000000000000,106.2000000000000,106.3000000000000,107.2000000000000,107.7000000000000,107.3000000000000,108.4000000000000,106.9000000000000,108.3000000000000,109.3000000000000,109.1000000000000,109.5000000000000,110.3000000000000,113.5000000000000,114.5000000000000,115.7000000000000,115.0000000000000,115.3000000000000,115.8000000000000,114.3000000000000,114.0000000000000,115.4000000000000,116.6000000000000,117.1000000000000,115.6000000000000,117.3000000000000,118.5000000000000,118.5000000000000,116.6000000000000,117.5000000000000,113.8000000000000,118.1000000000000,118.1000000000000,118.5000000000000,117.9000000000000,118.8000000000000,119.1000000000000
"..National Capital Region (NCR)","05 - FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",103.0000000000000,103.9000000000000,105.4000000000000,105.8000000000000,105.8000000000000,105.8000000000000,105.8000000000000,105.9000000000000,106.0000000000000,106.0000000000000,106.0000000000000,106.0000000000000,106.1000000000000,106.1000000000000,106.2000000000000,106.3000000000000,106.8000000000000,106.9000000000000,106.9000000000000,106.9000000000000,107.1000000000000,107.1000000000000,107.2000000000000,107.3000000000000,108.3000000000000,108.4000000000000,109.0000000000000,109.6000000000000,109.6000000000000,110.3000000000000,110.3000000000000,110.4000000000000,110.6000000000000,110.8000000000000,111.8000000000000,112.1000000000000,113.2000000000000,115.9000000000000,116.0000000000000,116.3000000000000,116.6000000000000,116.9000000000000,117.1000000000000,117.1000000000000,117.2000000000000,117.2000000000000,117.4000000000000,117.7000000000000,118.1000000000000,118.2000000000000,118.4000000000000,118.5000000000000,118.6000000000000,118.5000000000000,118.5000000000000,118.6000000000000,118.6000000000000,118.6000000000000,118.7000000000000,118.8000000000000
"..National Capital Region (NCR)","06 - HEALTH",103.2000000000000,103.3000000000000,103.4000000000000,103.5000000000000,103.5000000000000,103.5000000000000,104.4000000000000,104.4000000000000,104.5000000000000,104.6000000000000,104.7000000000000,104.8000000000000,105.3000000000000,105.4000000000000,105.5000000000000,105.5000000000000,105.8000000000000,105.9000000000000,106.6000000000000,106.7000000000000,106.9000000000000,106.9000000000000,107.1000000000000,107.1000000000000,107.3000000000000,106.9000000000000,107.1000000000000,107.2000000000000,107.8000000000000,107.9000000000000,108.0000000000000,107.8000000000000,107.7000000000000,107.9000000000000,108.4000000000000,108.6000000000000,109.0000000000000,109.3000000000000,109.5000000000000,109.8000000000000,110.1000000000000,110.2000000000000,110.4000000000000,110.7000000000000,110.8000000000000,111.0000000000000,111.3000000000000,111.7000000000000,111.9000000000000,112.3000000000000,112.5000000000000,112.6000000000000,112.9000000000000,112.9000000000000,113.1000000000000,113.2000000000000,113.3000000000000,113.5000000000000,113.7000000000000,113.9000000000000
"..National Capital Region (NCR)","07 - TRANSPORT",101.6000000000000,100.4000000000000,98.2000000000000,95.2000000000000,98.1000000000000,103.5000000000000,105.1000000000000,105.5000000000000,104.8000000000000,104.5000000000000,104.2000000000000,104.8000000000000,105.4000000000000,105.9000000000000,107.1000000000000,107.0000000000000,107.4000000000000,108.2000000000000,109.1000000000000,109.2000000000000,109.4000000000000,111.5000000000000,112.4000000000000,110.7000000000000,112.3000000000000,114.3000000000000,118.0000000000000,120.2000000000000,122.2000000000000,126.8000000000000,128.1000000000000,125.2000000000000,125.0000000000000,129.0000000000000,129.0000000000000,126.2000000000000,126.7000000000000,126.6000000000000,125.3000000000000,125.4000000000000,123.6000000000000,123.9000000000000,124.0000000000000,126.9000000000000,128.2000000000000,129.2000000000000,128.0000000000000,126.7000000000000,126.9000000000000,128.3000000000000,128.0000000000000,128.7000000000000,127.8000000000000,127.5000000000000,128.3000000000000,126.8000000000000,125.0000000000000,125.4000000000000,125.7000000000000,126.5000000000000
"..National Capital Region (NCR)","08 - INFORMATION AND COMMUNICATION",100.4000000000000,100.4000000000000,100.5000000000000,100.5000000000000,100.5000000000000,100.5000000000000,100.5000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,100.6000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.1000000000000,101.2000000000000,101.3000000000000,101.3000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.0000000000000,101.2000000000000,101.4000000000000,101.4000000000000,101.5000000000000,101.5000000000000,101.5000000000000,101.5000000000000,101.5000000000000,101.5000000000000,101.5000000000000,101.5000000000000,101.6000000000000,101.5000000000000,101.5000000000000,101.6000000000000,101.6000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000,101.7000000000000
"..National Capital Region (NCR)","09 - RECREATION, SPORT AND CULTURE",102.6000000000000,102.6000000000000,102.6000000000000,102.6000000000000,102.6000000000000,102.6000000000000,102.7000000000000,102.7000000000000,101.6000000000000,101.6000000000000,101.6000000000000,101.6000000000000,101.7000000000000,101.8000000000000,101.7000000000000,101.8000000000000,101.8000000000000,101.8000000000000,101.8000000000000,101.9000000000000,101.9000000000000,101.9000000000000,101.9000000000000,102.0000000000000,102.0000000000000,102.1000000000000,102.5000000000000,102.5000000000000,102.8000000000000,103.2000000000000,103.2000000000000,103.3000000000000,103.4000000000000,104.6000000000000,105.0000000000000,105.3000000000000,105.6000000000000,106.0000000000000,106.1000000000000,106.2000000000000,106.4000000000000,106.6000000000000,106.7000000000000,106.9000000000000,106.9000000000000,107.0000000000000,107.1000000000000,107.4000000000000,107.6000000000000,107.6000000000000,107.8000000000000,108.0000000000000,108.1000000000000,108.1000000000000,108.3000000000000,108.3000000000000,108.3000000000000,108.4000000000000,108.4000000000000,108.4000000000000
"..National Capital Region (NCR)","10 - EDUCATION SERVICES",106.3000000000000,106.3000000000000,106.3000000000000,106.3000000000000,106.3000000000000,106.3000000000000,106.3000000000000,106.3000000000000,106.6000000000000,106.3000000000000,106.3000000000000,106.3000000000000,106.6000000000000,106.6000000000000,106.6000000000000,106.6000000000000,106.6000000000000,106.6000000000000,106.6000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,106.5000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,115.1000000000000,118.9000000000000,118.9000000000000,118.9000000000000,118.9000000000000,118.9000000000000,119.6000000000000,119.6000000000000,119.6000000000000,119.6000000000000,119.6000000000000,119.6000000000000,121.0000000000000,121.7000000000000,121.7000000000000,121.7000000000000,121.7000000000000,121.7000000000000
