Consumer Price Index for All Income Households by Commodity Group (2018=100): January 2018 - January 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geolocation,Commodity Description,2018 Jan,2018 Feb,2018 Mar,2018 Apr,2018 May,2018 Jun,2018 Jul,2018 Aug,2018 Sep,2018 Oct,2018 Nov,2018 Dec,2019 Jan,2019 Feb,2019 Mar,2019 Apr,2019 May,2019 Jun,2019 Jul,2019 Aug,2019 Sep,2019 Oct,2019 Nov,2019 Dec,2020 Jan,2020 Feb,2020 Mar,2020 Apr,2020 May,2020 Jun,2020 Jul,2020 Aug,2020 Sep,2020 Oct,2020 Nov,2020 Dec,2021 Jan,2021 Feb,2021 Mar,2021 Apr,2021 May,2021 Jun,2021 Jul,2021 Aug,2021 Sep,2021 Oct,2021 Nov,2021 Dec,2022 Jan,2022 Feb,2022 Mar,2022 Apr,2022 May,2022 Jun,2022 Jul,2022 Aug,2022 Sep,2022 Oct,2022 Nov,2022 Dec,2023 Jan,2023 Feb,2023 Mar,2023 Apr,2023 May,2023 Jun,2023 Jul,2023 Aug,2023 Sep,2023 Oct,2023 Nov,2023 Dec,2024 Jan,2024 Feb,2024 Mar,2024 Apr,2024 May,2024 Jun,2024 Jul,2024 Aug,2024 Sep,2024 Oct,2024 Nov,2024 Dec
..Region III (Central Luzon),01.1 - FOOD,97.6,97.5,97.4,97.4,97.6,98.1,99.5,101.4,103.9,103.6,103.4,102.6,101.7,101.6,100.6,100.4,101.1,101.7,102,102.3,102.9,103.9,104.5,105.3,106.2,105,104.3,105,104.5,104.7,105.6,104.8,104.6,105.9,110.2,113.1,118,115.1,111.8,110.5,110,109.5,110.2,113.2,112.5,111.8,113,113.4,115.1,114,114.1,115.8,116.4,117.3,118.7,118.9,119.8,122.8,125.2,126.1,129.6,126.5,124.7,124.5,124.9,125.5,126.6,131.8,134.7,131.9,131.8,133,134.6,134.4,132.8,133.2,132.1,133.5,135.3,135.5,134.4,135.3,135.7,138.1
..Region III (Central Luzon),01.1.1 - Cereals and cereal products (ND),96.1,96.4,96.9,97.2,98.3,98.4,100.1,100.8,104.2,104.9,103.5,103,101.1,101.4,100.3,100.2,100.1,99.7,99.1,99.2,98.6,97.1,97,96.3,96.2,96.3,96.4,96.9,97.8,97.8,98.9,99,98.6,98,97.9,98.4,98.7,98.9,98.6,98.7,99.1,98.9,99.6,100.6,100.5,100.8,100.7,100.6,101.3,101.8,101.8,103.1,103.1,103.3,104.1,105,106,106.3,106.7,107.5,107.6,107.9,108.5,109.1,109.5,110.7,111.9,117,126.1,119.6,122.7,127.1,129.8,130.1,129.2,129.7,129.2,129.6,129.3,128,128.1,127.4,124.8,125
..Region III (Central Luzon),01.1.1.1 - Cereals (ND),94.9896304,95.36666256,96.00597502,96.42628342,97.90475571,97.91256884,100.2332836,101.1454569,105.676184,106.5597275,104.2439731,103.3913609,100.6519223,101.0604784,99.45276357,99.1786023,98.93811185,98.34430741,97.40371826,97.23715178,96.23193039,94.06308083,93.96304428,93.01340642,92.80851031,92.72276934,92.7532549,93.28455974,94.31105071,94.28772799,95.54063156,95.53585403,94.9807527,94.09992472,94.04388227,94.71766408,95.18280772,95.29549615,94.77531655,94.81810641,95.39910545,95.03037207,95.86754303,97.02694608,96.85104449,97.13795075,96.96514663,96.79239412,97.53303549,98.0208997,97.70582369,99.23356319,98.72642132,98.51617217,98.93665118,99.57888886,100.5069554,100.4530459,100.7886873,101.1834722,100.2839448,100.2099204,100.4896929,100.7950306,101.2667858,102.4506636,103.7989223,110.5025136,122.7226778,113.6106117,117.8741726,123.8229753,127.5259874,127.6429351,126.1524024,126.8963907,126.0605622,126.5003391,125.9497935,124.0610356,124.0034405,123.1166477,119.5788955,119.6036797
..Region III (Central Luzon),01.1.1.12 - Rice,94.99773557,95.33126206,95.97735958,96.39216241,97.90838239,97.90030857,100.255181,101.1371913,105.7192884,106.6075673,104.2582885,103.3690517,100.6025059,101.0268201,99.46083781,99.17038671,98.93335808,98.33454111,97.38648658,97.21920942,96.20133016,93.95370181,93.80441827,92.79976598,92.58498035,92.58298441,92.65082417,93.16957948,94.18595503,94.16346708,95.46637055,95.47648033,94.90566169,94.01440758,93.92864673,94.55288183,94.96917228,95.19272003,94.68918295,94.71708371,95.33462593,94.98693842,95.78917028,96.81325651,96.64507879,96.92222019,96.56544185,96.37250729,97.07647827,97.7365813,97.4624014,99.03460381,98.58335437,98.37725375,98.72257022,99.36716989,100.2506455,100.0095479,100.1190705,100.556615,99.72233602,99.67682723,99.97193252,100.3211129,100.890272,102.0428796,103.4671372,110.1458625,122.4653339,113.1500747,117.4417738,123.4932731,127.2332838,127.4606046,126.0045151,126.7435449,125.9067146,126.3479621,125.7214908,123.7550065,123.6053603,122.4632135,118.7986759,118.7233039
..Region III (Central Luzon),01.1.1.16 - Corn,94.42885494,97.81592926,97.98580128,98.78702573,97.65383512,98.76082433,98.71825937,101.717336,102.6939064,103.2498224,103.2535298,104.9348754,104.0709074,103.3892055,98.89412825,99.74701721,99.26701283,99.02001229,98.59593235,98.47853612,98.34907938,101.6307251,104.9379583,107.7946232,108.2739567,102.3941185,99.84016604,101.2397396,102.9660896,102.8850113,100.678554,99.64376281,100.1761007,100.0166292,102.0167239,106.1185114,109.9636783,102.4063039,100.734672,101.8075996,99.8602728,98.03543161,101.2899468,111.8115614,111.1012663,112.063777,124.6196625,125.8432521,129.121021,117.6921376,114.547568,112.9990365,108.624845,108.1275697,113.748346,114.2271642,118.2403624,131.1374966,147.1176999,144.5540614,139.140169,137.0932247,136.312163,133.5841405,127.3167849,130.664163,126.7542567,135.1782564,140.5276162,145.4739527,147.7907027,146.6341988,147.7773782,140.2578995,136.3843286,137.4713852,136.7048668,137.0429019,141.7454586,145.2343832,151.5455555,168.3260345,173.5602235,180.5145504
..Region III (Central Luzon),"01.1.1.20 - FLOUR, BREAD AND OTHER BAKERY PRODUCTS, PASTA PRODUCTS,  AND OTHER CEREALS",99.13166387,99.31964851,99.29396124,99.377677,99.50082649,99.60412342,99.83582574,99.85936806,100.1750248,100.6203659,101.4538591,101.8276558,102.1334512,102.463811,102.6711176,102.870628,103.0177739,103.1942206,103.4695696,104.3969214,104.7250973,105.0453102,105.0279735,105.0606375,105.1237312,105.5783303,105.9641306,106.3937321,106.9603484,107.2105224,107.943333,108.1227718,108.1459302,108.1590589,108.13387,108.0283782,108.1383874,108.48293,108.59061,108.8411589,109.0111508,109.1655794,109.4867765,110.0274771,110.2280271,110.3462102,110.6098231,110.7682257,111.1399799,111.6538572,112.5835789,113.3940672,114.6356683,116.0568226,117.660677,119.4710592,120.3994655,121.6006586,122.3841055,124.1695119,127.1190494,128.3053891,129.6698603,130.9069111,131.4260229,132.3860934,133.2884791,134.343629,134.9117442,135.3343016,135.5686088,135.7880765,135.8952977,136.6874589,137.2013568,137.2585505,137.7065745,137.8382841,137.9826567,138.3389996,138.6920506,138.7741601,138.7374908,139.0558746
..Region III (Central Luzon),01.1.1.2 - Flour of cereals (ND),99.43979672,99.83783223,99.38613205,99.60452262,99.66132627,99.79231705,99.84816753,99.84995314,100.2137296,100.3916322,101.0995826,100.8750079,101.32383,101.212988,101.4509045,101.352941,101.3506772,101.3506772,102.0121495,102.1974764,102.4134769,102.4739988,102.3680307,102.4668436,102.2618146,102.7702199,102.9187753,103.2156439,103.5102962,103.6785108,104.0596005,104.05906,104.102285,104.1036359,103.9682169,104.3220706,104.3705764,104.6876558,104.6061718,104.9724521,105.1110599,105.2667805,105.3490874,105.9128105,106.3171471,106.5042464,106.5396349,106.8916143,106.695999,106.6959062,106.9533404,107.811196,108.0335285,109.4823169,110.4054717,111.4356075,112.081934,112.9361259,112.9933073,113.8051815,114.9038057,117.0854076,117.5367719,118.3380988,118.8462009,120.2277797,120.5373132,120.6363767,120.9742483,121.3860255,122.0156522,122.2797739,122.3772451,123.4137984,124.0040615,124.2563774,124.6657682,124.5714958,125.153319,125.0750678,125.728414,126.2892865,126.0123156,126.3488904
..Region III (Central Luzon),01.1.1.3 - Bread and bakery products (ND),99.02634767,99.16765454,99.12699238,99.23330649,99.40746139,99.52504259,99.88021749,99.91002141,100.2259929,100.711667,101.6917045,102.0935916,102.433137,102.9247216,103.2133106,103.4887069,103.610632,103.8091702,104.065206,104.9008067,105.1842433,105.4970978,105.5592724,105.5741856,105.8816809,106.2243867,106.6339547,107.1547356,107.8572556,108.0837052,108.8715964,109.0661285,109.028992,108.9678266,108.9319352,108.896612,109.0906913,109.3083344,109.4078281,109.7580947,109.8997028,110.0290467,110.3986397,110.7839033,111.0360319,111.1236368,111.2889129,111.3014235,111.5655121,112.1128288,112.8765355,113.8531969,115.0537265,116.3195829,117.7615513,120.0779739,120.9973302,122.2985496,123.2340423,125.0066261,128.9503621,130.0056864,131.6676651,133.0177423,133.5333878,134.4464377,135.5918647,136.880994,137.189329,137.7075271,137.9067892,138.1339951,138.1527152,138.8972906,138.6513206,138.498524,139.2653364,139.3001756,139.4184712,139.891005,139.9984794,139.9658513,139.8719819,140.1960789
..Region III (Central Luzon),01.1.1.4 - Breakfast cereals (ND),99.15480239,99.85304428,99.88835516,99.92250439,100.0040668,100.0238113,100.0238113,100.0238113,100.1004417,100.1734953,100.3822622,100.4495939,100.5295726,100.6811499,100.7951658,100.9989915,101.0280443,101.6942225,101.5174656,102.601799,102.9424029,103.5717533,103.8987542,103.8397849,104.02716,104.5139173,105.0243979,105.7342701,106.501062,106.5408373,106.4554346,106.3098972,106.3748178,106.4733109,106.3966015,106.0793344,106.0471287,106.1324521,106.2803703,106.5166112,106.5599585,106.8027516,106.7838109,108.2446246,108.0366262,108.1400216,108.3757827,108.4533543,109.0721741,109.9666551,109.732208,110.2033903,110.7236827,111.3935827,111.7020472,112.0109454,111.9556045,112.3771165,112.3343331,112.6861927,113.0541296,113.8354207,115.6377244,115.4916144,116.4873269,118.8444716,119.5051455,119.8518993,120.1961788,120.6346069,121.3704884,121.7510477,121.8120967,121.5339248,121.4429475,122.0912781,121.7173665,121.8095573,122.3120334,122.5915478,122.8711565,123.2630512,123.1362686,123.380872
..Region III (Central Luzon),"01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",99.12067147,99.47050774,99.53875761,99.58655335,99.65882221,99.79649338,99.87520214,99.90129307,100.1031701,100.4951434,101.0618883,101.3914972,101.4717912,101.6267751,101.803666,101.9834354,102.1260608,102.2141629,102.6988553,103.8007126,104.0228579,104.594839,104.346205,104.4124154,104.1130253,104.9686114,105.2757378,105.4929793,105.835731,106.1400389,107.0210135,107.1055515,107.2132198,107.3266153,107.4231363,106.9693505,106.9986747,107.2287339,107.2689066,107.2318693,107.4644962,107.6272822,107.9420965,108.4854715,108.6203506,108.7027289,109.3026913,109.5609602,109.7968512,110.1413565,111.1889616,111.52341,112.8608258,114.291532,116.1225976,117.2660889,118.0738359,119.2009618,119.6757599,122.5912367,124.1429415,125.2001118,126.3925521,127.3826919,127.8964712,128.7780997,129.1618436,129.7563776,130.7194385,131.1334743,131.4051214,131.5686007,131.8277717,132.1708429,132.1154042,132.2089304,132.1101458,132.4220317,132.5248314,132.8250095,133.2491275,133.5008277,133.8286536,133.9462304
