,Species,Geolocation,Value,Year,Quarter,Volume
0,Milkfish,National Capital Region (NCR),2853.5,2020, Quarter 1,36.37
1,Milkfish,Cordillera Administrative Region (CAR),35030.91666666667,2020, Quarter 1,351.71333333333337
2,Milkfish,Region I (Ilocos Region),2721045.87,2020, Quarter 1,24495.36
3,Milkfish,Region II (Cagayan Valley),1623.57,2020, Quarter 1,12.95
4,Milkfish,Region III (Central Luzon),1159738.77,2020, Quarter 1,10972.48
5,Milkfish,Region IV-A (CALABARZON),487333.63,2020, Quarter 1,4033.96
6,Milkfish,MIMAROPA Region,12703.1,2020, Quarter 1,105.8
7,Milkfish,Region V (Bicol Region),40974.56,2020, Quarter 1,376.02
8,Milkfish,Region VI (Western Visayas),1669230.39,2020, Quarter 1,15007.54
9,Milkfish,Region VII (Central Visayas),158155.47,2020, Quarter 1,1389.34
10,Milkfish,Region VIII (Eastern Visayas),29304.74,2020, Quarter 1,243.34
11,Milkfish,Region IX (Zamboanga Peninsula),84734.18,2020, Quarter 1,1057.67
12,Milkfish,Region X (Nothern Mindanao),268786.08,2020, Quarter 1,2228.22
13,Milkfish,Region XI (Davao Region),350510.62,2020, Quarter 1,2988.69
14,Milkfish,Region XII (SOCCSKSARGEN),15937.61,2020, Quarter 1,134.96
15,Milkfish,Region XIII (Caraga),132158.29,2020, Quarter 1,1060.51
16,Milkfish,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),92384.57,2020, Quarter 1,941.7
17,Tilapia,National Capital Region (NCR),909.03,2020, Quarter 1,17.67
18,Tilapia,Cordillera Administrative Region (CAR),72531.91,2020, Quarter 1,703.29
19,Tilapia,Region I (Ilocos Region),184972.03,2020, Quarter 1,2194.32
20,Tilapia,Region II (Cagayan Valley),183620.06,2020, Quarter 1,1889.84
21,Tilapia,Region III (Central Luzon),4594589.67,2020, Quarter 1,56250.9
22,Tilapia,Region IV-A (CALABARZON),1051976.52,2020, Quarter 1,11793.33
23,Tilapia,MIMAROPA Region,6549.52,2020, Quarter 1,57.43
24,Tilapia,Region V (Bicol Region),172663.12,2020, Quarter 1,1623.65
25,Tilapia,Region VI (Western Visayas),34407.48,2020, Quarter 1,339.98
26,Tilapia,Region VII (Central Visayas),23325.39,2020, Quarter 1,156.28
27,Tilapia,Region VIII (Eastern Visayas),68644.75,2020, Quarter 1,685.89
28,Tilapia,Region IX (Zamboanga Peninsula),9246.4,2020, Quarter 1,136.21
29,Tilapia,Region X (Nothern Mindanao),43515.26,2020, Quarter 1,433.87
30,Tilapia,Region XI (Davao Region),16608.49,2020, Quarter 1,152.33
31,Tilapia,Region XII (SOCCSKSARGEN),215662.14,2020, Quarter 1,2185.56
32,Tilapia,Region XIII (Caraga),3322.74,2020, Quarter 1,32.62
33,Tilapia,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),65307.97,2020, Quarter 1,680.39
34,Tiger Prawn,National Capital Region (NCR),51790.64333333333,2020, Quarter 1,100.8
35,Tiger Prawn,Cordillera Administrative Region (CAR),43953.68666666667,2020, Quarter 1,290.5466666666666
36,Tiger Prawn,Region I (Ilocos Region),132020.76,2020, Quarter 1,240.07
37,Tiger Prawn,Region II (Cagayan Valley),2181.96,2020, Quarter 1,4.82
38,Tiger Prawn,Region III (Central Luzon),2639429.2,2020, Quarter 1,4730.12
39,Tiger Prawn,Region IV-A (CALABARZON),15077.1,2020, Quarter 1,34.61
40,Tiger Prawn,MIMAROPA Region,22442.14,2020, Quarter 1,44.66
41,Tiger Prawn,Region V (Bicol Region),55608.52,2020, Quarter 1,159.07
42,Tiger Prawn,Region VI (Western Visayas),10726.96,2020, Quarter 1,22.71
43,Tiger Prawn,Region VII (Central Visayas),11305.0,2020, Quarter 1,33.25
44,Tiger Prawn,Region VIII (Eastern Visayas),0.4,2020, Quarter 1,0.0
45,Tiger Prawn,Region IX (Zamboanga Peninsula),66561.42,2020, Quarter 1,217.23
46,Tiger Prawn,Region X (Nothern Mindanao),1084264.74,2020, Quarter 1,2590.99
47,Tiger Prawn,Region XI (Davao Region),33.53,2020, Quarter 1,0.1
48,Tiger Prawn,Region XII (SOCCSKSARGEN),19.93,2020, Quarter 1,0.05
49,Tiger Prawn,Region XIII (Caraga),7405.0,2020, Quarter 1,20.48
50,Tiger Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),36887.01,2020, Quarter 1,123.69
51,Mudcrab,National Capital Region (NCR),1852.3666666666668,2020, Quarter 1,15.119999999999997
52,Mudcrab,Cordillera Administrative Region (CAR),4962.216666666667,2020, Quarter 1,37.86666666666667
53,Mudcrab,Region I (Ilocos Region),2644.35,2020, Quarter 1,8.83
54,Mudcrab,Region II (Cagayan Valley),675.91,2020, Quarter 1,2.15
55,Mudcrab,Region III (Central Luzon),352432.11,2020, Quarter 1,591.54
56,Mudcrab,Region IV-A (CALABARZON),1684445.69,2020, Quarter 1,3322.45
57,Mudcrab,MIMAROPA Region,59.25,2020, Quarter 1,0.16
58,Mudcrab,Region V (Bicol Region),35958.68,2020, Quarter 1,112.35
59,Mudcrab,Region VI (Western Visayas),9016.09,2020, Quarter 1,31.95
60,Mudcrab,Region VII (Central Visayas),102281.10999999999,2020, Quarter 1,473.7966666666666
61,Mudcrab,Region VIII (Eastern Visayas),139671.77,2020, Quarter 1,155.95
62,Mudcrab,Region IX (Zamboanga Peninsula),57621.34,2020, Quarter 1,228.97
63,Mudcrab,Region X (Nothern Mindanao),797939.88,2020, Quarter 1,1942.25
64,Mudcrab,Region XI (Davao Region),655.62,2020, Quarter 1,1.71
65,Mudcrab,Region XII (SOCCSKSARGEN),16.94,2020, Quarter 1,0.04
66,Mudcrab,Region XIII (Caraga),31463.63,2020, Quarter 1,71.68
67,Mudcrab,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2124.3,2020, Quarter 1,7.64
68,Endeavor Prawn,National Capital Region (NCR),2225.483333333333,2020, Quarter 1,6.78
69,Endeavor Prawn,Cordillera Administrative Region (CAR),1089.6633333333332,2020, Quarter 1,10.196666666666667
70,Endeavor Prawn,Region I (Ilocos Region),6612.86,2020, Quarter 1,15.98
71,Endeavor Prawn,Region II (Cagayan Valley),5606.98,2020, Quarter 1,21.57
72,Endeavor Prawn,Region III (Central Luzon),45.75,2020, Quarter 1,0.11
73,Endeavor Prawn,Region IV-A (CALABARZON),5.1,2020, Quarter 1,0.03
74,Endeavor Prawn,MIMAROPA Region,63.41,2020, Quarter 1,0.27
75,Endeavor Prawn,Region V (Bicol Region),16.78,2020, Quarter 1,0.13
76,Endeavor Prawn,Region VI (Western Visayas),2653.26,2020, Quarter 1,15.67
77,Endeavor Prawn,Region VII (Central Visayas),886.2133333333335,2020, Quarter 1,5.24
78,Endeavor Prawn,Region VIII (Eastern Visayas),233.18666666666664,2020, Quarter 1,1.5833333333333337
79,Endeavor Prawn,Region IX (Zamboanga Peninsula),8.88,2020, Quarter 1,0.07666666666666667
80,Endeavor Prawn,Region X (Nothern Mindanao),680.8,2020, Quarter 1,4.32
81,Endeavor Prawn,Region XI (Davao Region),415.64,2020, Quarter 1,2.08
82,Endeavor Prawn,Region XII (SOCCSKSARGEN),2715.7233333333334,2020, Quarter 1,21.8
83,Endeavor Prawn,Region XIII (Caraga),2577.976666666667,2020, Quarter 1,21.116666666666667
84,Endeavor Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),1089.0766666666666,2020, Quarter 1,10.19
85,White Shrimp,National Capital Region (NCR),315.84666666666664,2020, Quarter 1,5.960000000000001
86,White Shrimp,Cordillera Administrative Region (CAR),48359.35666666667,2020, Quarter 1,468.90333333333336
87,White Shrimp,Region I (Ilocos Region),27.48,2020, Quarter 1,0.11
88,White Shrimp,Region II (Cagayan Valley),249.19,2020, Quarter 1,2.49
89,White Shrimp,Region III (Central Luzon),5738.44,2020, Quarter 1,18.79
90,White Shrimp,Region IV-A (CALABARZON),7.86,2020, Quarter 1,0.04
91,White Shrimp,MIMAROPA Region,11.03,2020, Quarter 1,0.1
92,White Shrimp,Region V (Bicol Region),7.63,2020, Quarter 1,0.05
93,White Shrimp,Region VI (Western Visayas),376.97,2020, Quarter 1,2.04
94,White Shrimp,Region VII (Central Visayas),60.52,2020, Quarter 1,0.3
95,White Shrimp,Region VIII (Eastern Visayas),120013.92333333334,2020, Quarter 1,1684.0100000000002
96,White Shrimp,Region IX (Zamboanga Peninsula),775.67,2020, Quarter 1,6.65
97,White Shrimp,Region X (Nothern Mindanao),1253.77,2020, Quarter 1,9.21
98,White Shrimp,Region XI (Davao Region),18.5,2020, Quarter 1,0.1
99,White Shrimp,Region XII (SOCCSKSARGEN),251376.22333333336,2020, Quarter 1,1287.8233333333335
100,White Shrimp,Region XIII (Caraga),107.52,2020, Quarter 1,0.53
101,White Shrimp,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),10253.14,2020, Quarter 1,57.8
102,Grouper,National Capital Region (NCR),1058.9,2020, Quarter 1,12.326666666666666
