Species,Geolocation,Year,Quarter,Value,Volume
All Species,National Capital Region (NCR),2020, Quarter 1,10190.23,250.84
All Species,Cordillera Administrative Region (CAR),2020, Quarter 1,72535.13,703.32
All Species,Region I (Ilocos Region),2020, Quarter 1,3062615.94,27212.01
All Species,Region II (Cagayan Valley),2020, Quarter 1,213501.7,2073.65
All Species,Region III (Central Luzon),2020, Quarter 1,9137119.99,74439.96
All Species,Region IV-A (CALABARZON),2020, Quarter 1,3364319.99,21050.58
All Species,MIMAROPA Region,2020, Quarter 1,111319.14,10207.21
All Species,Region V (Bicol Region),2020, Quarter 1,368636.67,7331.16
All Species,Region VI (Western Visayas),2020, Quarter 1,2110997.13,47425.67
All Species,Region VII (Central Visayas),2020, Quarter 1,660545.48,18765.29
All Species,Region VIII (Eastern Visayas),2020, Quarter 1,290143.25,4365.84
All Species,Region IX (Zamboanga Peninsula),2020, Quarter 1,771675.03,69462.82
All Species,Region X (Nothern Mindanao),2020, Quarter 1,2302878.1,15836.32
All Species,Region XI (Davao Region),2020, Quarter 1,615519.38,7086.56
All Species,Region XII (SOCCSKSARGEN),2020, Quarter 1,538448.03,3862.84
All Species,Region XIII (Caraga),2020, Quarter 1,191598.01,1940.2
All Species,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,1438168.66,213228.43
Milkfish,National Capital Region (NCR),2020, Quarter 1,2853.5,36.37
Milkfish,Cordillera Administrative Region (CAR),2020, Quarter 1,35030.91666666667,351.71333333333337
Milkfish,Region I (Ilocos Region),2020, Quarter 1,2721045.87,24495.36
Milkfish,Region II (Cagayan Valley),2020, Quarter 1,1623.57,12.95
Milkfish,Region III (Central Luzon),2020, Quarter 1,1159738.77,10972.48
Milkfish,Region IV-A (CALABARZON),2020, Quarter 1,487333.63,4033.96
Milkfish,MIMAROPA Region,2020, Quarter 1,12703.1,105.8
Milkfish,Region V (Bicol Region),2020, Quarter 1,40974.56,376.02
Milkfish,Region VI (Western Visayas),2020, Quarter 1,1669230.39,15007.54
Milkfish,Region VII (Central Visayas),2020, Quarter 1,158155.47,1389.34
Milkfish,Region VIII (Eastern Visayas),2020, Quarter 1,29304.74,243.34
Milkfish,Region IX (Zamboanga Peninsula),2020, Quarter 1,84734.18,1057.67
Milkfish,Region X (Nothern Mindanao),2020, Quarter 1,268786.08,2228.22
Milkfish,Region XI (Davao Region),2020, Quarter 1,350510.62,2988.69
Milkfish,Region XII (SOCCSKSARGEN),2020, Quarter 1,15937.61,134.96
Milkfish,Region XIII (Caraga),2020, Quarter 1,132158.29,1060.51
Milkfish,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,92384.57,941.7
Tilapia,National Capital Region (NCR),2020, Quarter 1,909.03,17.67
Tilapia,Cordillera Administrative Region (CAR),2020, Quarter 1,72531.91,703.29
Tilapia,Region I (Ilocos Region),2020, Quarter 1,184972.03,2194.32
Tilapia,Region II (Cagayan Valley),2020, Quarter 1,183620.06,1889.84
Tilapia,Region III (Central Luzon),2020, Quarter 1,4594589.67,56250.9
Tilapia,Region IV-A (CALABARZON),2020, Quarter 1,1051976.52,11793.33
Tilapia,MIMAROPA Region,2020, Quarter 1,6549.52,57.43
Tilapia,Region V (Bicol Region),2020, Quarter 1,172663.12,1623.65
Tilapia,Region VI (Western Visayas),2020, Quarter 1,34407.48,339.98
Tilapia,Region VII (Central Visayas),2020, Quarter 1,23325.39,156.28
Tilapia,Region VIII (Eastern Visayas),2020, Quarter 1,68644.75,685.89
Tilapia,Region IX (Zamboanga Peninsula),2020, Quarter 1,9246.4,136.21
Tilapia,Region X (Nothern Mindanao),2020, Quarter 1,43515.26,433.87
Tilapia,Region XI (Davao Region),2020, Quarter 1,16608.49,152.33
Tilapia,Region XII (SOCCSKSARGEN),2020, Quarter 1,215662.14,2185.56
Tilapia,Region XIII (Caraga),2020, Quarter 1,3322.74,32.62
Tilapia,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,65307.97,680.39
Tiger Prawn,National Capital Region (NCR),2020, Quarter 1,51790.64333333334,100.80000000000001
Tiger Prawn,Cordillera Administrative Region (CAR),2020, Quarter 1,43953.68666666667,290.5466666666666
Tiger Prawn,Region I (Ilocos Region),2020, Quarter 1,132020.76,240.07
Tiger Prawn,Region II (Cagayan Valley),2020, Quarter 1,2181.96,4.82
Tiger Prawn,Region III (Central Luzon),2020, Quarter 1,2639429.2,4730.12
Tiger Prawn,Region IV-A (CALABARZON),2020, Quarter 1,15077.1,34.61
Tiger Prawn,MIMAROPA Region,2020, Quarter 1,22442.14,44.66
Tiger Prawn,Region V (Bicol Region),2020, Quarter 1,55608.52,159.07
Tiger Prawn,Region VI (Western Visayas),2020, Quarter 1,10726.96,22.71
Tiger Prawn,Region VII (Central Visayas),2020, Quarter 1,11305.0,33.25
Tiger Prawn,Region VIII (Eastern Visayas),2020, Quarter 1,0.4,0.0
Tiger Prawn,Region IX (Zamboanga Peninsula),2020, Quarter 1,66561.42,217.23
Tiger Prawn,Region X (Nothern Mindanao),2020, Quarter 1,1084264.74,2590.99
Tiger Prawn,Region XI (Davao Region),2020, Quarter 1,33.53,0.1
Tiger Prawn,Region XII (SOCCSKSARGEN),2020, Quarter 1,19.93,0.05
Tiger Prawn,Region XIII (Caraga),2020, Quarter 1,7405.0,20.48
Tiger Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,36887.01,123.69
Mudcrab,National Capital Region (NCR),2020, Quarter 1,1852.3666666666668,15.119999999999997
Mudcrab,Cordillera Administrative Region (CAR),2020, Quarter 1,4962.216666666667,37.86666666666667
Mudcrab,Region I (Ilocos Region),2020, Quarter 1,2644.35,8.83
Mudcrab,Region II (Cagayan Valley),2020, Quarter 1,675.91,2.15
Mudcrab,Region III (Central Luzon),2020, Quarter 1,352432.11,591.54
Mudcrab,Region IV-A (CALABARZON),2020, Quarter 1,1684445.69,3322.45
Mudcrab,MIMAROPA Region,2020, Quarter 1,59.25,0.16
Mudcrab,Region V (Bicol Region),2020, Quarter 1,35958.68,112.35
Mudcrab,Region VI (Western Visayas),2020, Quarter 1,9016.09,31.95
Mudcrab,Region VII (Central Visayas),2020, Quarter 1,102281.10999999999,515.13
Mudcrab,Region VIII (Eastern Visayas),2020, Quarter 1,139671.77,155.95
Mudcrab,Region IX (Zamboanga Peninsula),2020, Quarter 1,57621.34,228.97
Mudcrab,Region X (Nothern Mindanao),2020, Quarter 1,797939.88,1942.25
Mudcrab,Region XI (Davao Region),2020, Quarter 1,655.62,1.71
Mudcrab,Region XII (SOCCSKSARGEN),2020, Quarter 1,16.94,0.04
Mudcrab,Region XIII (Caraga),2020, Quarter 1,31463.63,71.68
Mudcrab,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,2124.3,7.64
Endeavor Prawn,National Capital Region (NCR),2020, Quarter 1,2225.483333333333,5.43
Endeavor Prawn,Cordillera Administrative Region (CAR),2020, Quarter 1,1089.6633333333332,10.196666666666667
Endeavor Prawn,Region I (Ilocos Region),2020, Quarter 1,6612.86,15.98
Endeavor Prawn,Region II (Cagayan Valley),2020, Quarter 1,5606.98,21.57
Endeavor Prawn,Region III (Central Luzon),2020, Quarter 1,45.75,0.11
Endeavor Prawn,Region IV-A (CALABARZON),2020, Quarter 1,5.1,0.03
Endeavor Prawn,MIMAROPA Region,2020, Quarter 1,63.41,0.27
Endeavor Prawn,Region V (Bicol Region),2020, Quarter 1,16.78,0.13
Endeavor Prawn,Region VI (Western Visayas),2020, Quarter 1,2653.26,15.67
Endeavor Prawn,Region VII (Central Visayas),2020, Quarter 1,886.2133333333335,5.24
Endeavor Prawn,Region VIII (Eastern Visayas),2020, Quarter 1,233.18666666666664,1.5833333333333337
Endeavor Prawn,Region IX (Zamboanga Peninsula),2020, Quarter 1,8.88,0.07666666666666667
Endeavor Prawn,Region X (Nothern Mindanao),2020, Quarter 1,680.8,4.32
Endeavor Prawn,Region XI (Davao Region),2020, Quarter 1,415.64,2.08
Endeavor Prawn,Region XII (SOCCSKSARGEN),2020, Quarter 1,2715.7233333333334,21.8
Endeavor Prawn,Region XIII (Caraga),2020, Quarter 1,2577.976666666667,21.116666666666667
Endeavor Prawn,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020, Quarter 1,1089.0766666666666,10.19
