,Species,Geolocation,Year-Quarter,Volume,Value
0,All Species,..National Capital Region (NCR),2020 Quarter 1,250.84,10190.23
1,All Species,..Cordillera Administrative Region (CAR),2020 Quarter 1,703.32,72535.13
2,All Species,..Region I (Ilocos Region),2020 Quarter 1,27212.01,3062615.94
3,All Species,..Region II (Cagayan Valley),2020 Quarter 1,2073.65,213501.70
4,All Species,..Region III (Central Luzon),2020 Quarter 1,74439.96,9137119.99
5,All Species,..Region IV-A (CALABARZON),2020 Quarter 1,21050.58,3364319.99
6,All Species,..MIMAROPA Region,2020 Quarter 1,10207.21,111319.14
7,All Species,..Region V (Bicol Region),2020 Quarter 1,7331.16,368636.67
8,All Species,..Region VI (Western Visayas),2020 Quarter 1,47425.67,2110997.13
9,All Species,..Region VII (Central Visayas),2020 Quarter 1,18765.29,660545.48
10,All Species,..Region VIII (Eastern Visayas),2020 Quarter 1,4365.84,290143.25
11,All Species,..Region IX (Zamboanga Peninsula),2020 Quarter 1,69462.82,771675.03
12,All Species,..Region X (Nothern Mindanao),2020 Quarter 1,15836.32,2302878.10
13,All Species,..Region XI (Davao Region),2020 Quarter 1,7086.56,615519.38
14,All Species,..Region XII (SOCCSKSARGEN),2020 Quarter 1,3862.84,538448.03
15,All Species,..Region XIII (Caraga),2020 Quarter 1,1940.20,191598.01
16,All Species,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,213228.43,1438168.66
17,..Milkfish,..National Capital Region (NCR),2020 Quarter 1,36.37,2853.50
18,..Milkfish,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
19,..Milkfish,..Region I (Ilocos Region),2020 Quarter 1,24495.36,2721045.87
20,..Milkfish,..Region II (Cagayan Valley),2020 Quarter 1,12.95,1623.57
21,..Milkfish,..Region III (Central Luzon),2020 Quarter 1,10972.48,1159738.77
22,..Milkfish,..Region IV-A (CALABARZON),2020 Quarter 1,4033.96,487333.63
23,..Milkfish,..MIMAROPA Region,2020 Quarter 1,105.80,12703.10
24,..Milkfish,..Region V (Bicol Region),2020 Quarter 1,376.02,40974.56
25,..Milkfish,..Region VI (Western Visayas),2020 Quarter 1,15007.54,1669230.39
26,..Milkfish,..Region VII (Central Visayas),2020 Quarter 1,1389.34,158155.47
27,..Milkfish,..Region VIII (Eastern Visayas),2020 Quarter 1,243.34,29304.74
28,..Milkfish,..Region IX (Zamboanga Peninsula),2020 Quarter 1,1057.67,84734.18
29,..Milkfish,..Region X (Nothern Mindanao),2020 Quarter 1,2228.22,268786.08
30,..Milkfish,..Region XI (Davao Region),2020 Quarter 1,2988.69,350510.62
31,..Milkfish,..Region XII (SOCCSKSARGEN),2020 Quarter 1,134.96,15937.61
32,..Milkfish,..Region XIII (Caraga),2020 Quarter 1,1060.51,132158.29
33,..Milkfish,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,941.70,92384.57
34,..Tilapia,..National Capital Region (NCR),2020 Quarter 1,17.67,909.03
35,..Tilapia,..Cordillera Administrative Region (CAR),2020 Quarter 1,703.29,72531.91
36,..Tilapia,..Region I (Ilocos Region),2020 Quarter 1,2194.32,184972.03
37,..Tilapia,..Region II (Cagayan Valley),2020 Quarter 1,1889.84,183620.06
38,..Tilapia,..Region III (Central Luzon),2020 Quarter 1,56250.90,4594589.67
39,..Tilapia,..Region IV-A (CALABARZON),2020 Quarter 1,11793.33,1051976.52
40,..Tilapia,..MIMAROPA Region,2020 Quarter 1,57.43,6549.52
41,..Tilapia,..Region V (Bicol Region),2020 Quarter 1,1623.65,172663.12
42,..Tilapia,..Region VI (Western Visayas),2020 Quarter 1,339.98,34407.48
43,..Tilapia,..Region VII (Central Visayas),2020 Quarter 1,156.28,23325.39
44,..Tilapia,..Region VIII (Eastern Visayas),2020 Quarter 1,685.89,68644.75
45,..Tilapia,..Region IX (Zamboanga Peninsula),2020 Quarter 1,136.21,9246.40
46,..Tilapia,..Region X (Nothern Mindanao),2020 Quarter 1,433.87,43515.26
47,..Tilapia,..Region XI (Davao Region),2020 Quarter 1,152.33,16608.49
48,..Tilapia,..Region XII (SOCCSKSARGEN),2020 Quarter 1,2185.56,215662.14
49,..Tilapia,..Region XIII (Caraga),2020 Quarter 1,32.62,3322.74
50,..Tilapia,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,680.39,65307.97
51,..Tiger Prawn,..National Capital Region (NCR),2020 Quarter 1,..,..
52,..Tiger Prawn,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
53,..Tiger Prawn,..Region I (Ilocos Region),2020 Quarter 1,240.07,132020.76
54,..Tiger Prawn,..Region II (Cagayan Valley),2020 Quarter 1,4.82,2181.96
55,..Tiger Prawn,..Region III (Central Luzon),2020 Quarter 1,4730.12,2639429.20
56,..Tiger Prawn,..Region IV-A (CALABARZON),2020 Quarter 1,34.61,15077.10
57,..Tiger Prawn,..MIMAROPA Region,2020 Quarter 1,44.66,22442.14
58,..Tiger Prawn,..Region V (Bicol Region),2020 Quarter 1,159.07,55608.52
59,..Tiger Prawn,..Region VI (Western Visayas),2020 Quarter 1,22.71,10726.96
60,..Tiger Prawn,..Region VII (Central Visayas),2020 Quarter 1,33.25,11305.00
61,..Tiger Prawn,..Region VIII (Eastern Visayas),2020 Quarter 1,0.00,0.40
62,..Tiger Prawn,..Region IX (Zamboanga Peninsula),2020 Quarter 1,217.23,66561.42
63,..Tiger Prawn,..Region X (Nothern Mindanao),2020 Quarter 1,2590.99,1084264.74
64,..Tiger Prawn,..Region XI (Davao Region),2020 Quarter 1,0.10,33.53
65,..Tiger Prawn,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.05,19.93
66,..Tiger Prawn,..Region XIII (Caraga),2020 Quarter 1,20.48,7405.00
67,..Tiger Prawn,..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2020 Quarter 1,123.69,36887.01
68,..Mudcrab,..National Capital Region (NCR),2020 Quarter 1,..,..
69,..Mudcrab,..Cordillera Administrative Region (CAR),2020 Quarter 1,..,..
70,..Mudcrab,..Region I (Ilocos Region),2020 Quarter 1,8.83,2644.35
71,..Mudcrab,..Region II (Cagayan Valley),2020 Quarter 1,2.15,675.91
72,..Mudcrab,..Region III (Central Luzon),2020 Quarter 1,591.54,352432.11
73,..Mudcrab,..Region IV-A (CALABARZON),2020 Quarter 1,3322.45,1684445.69
74,..Mudcrab,..MIMAROPA Region,2020 Quarter 1,0.16,59.25
75,..Mudcrab,..Region V (Bicol Region),2020 Quarter 1,112.35,35958.68
76,..Mudcrab,..Region VI (Western Visayas),2020 Quarter 1,31.95,9016.09
77,..Mudcrab,..Region VII (Central Visayas),2020 Quarter 1,..,..
78,..Mudcrab,..Region VIII (Eastern Visayas),2020 Quarter 1,155.95,139671.77
79,..Mudcrab,..Region IX (Zamboanga Peninsula),2020 Quarter 1,228.97,57621.34
80,..Mudcrab,..Region X (Nothern Mindanao),2020 Quarter 1,1942.25,797939.88
81,..Mudcrab,..Region XI (Davao Region),2020 Quarter 1,1.71,655.62
82,..Mudcrab,..Region XII (SOCCSKSARGEN),2020 Quarter 1,0.04,16.94
